
X_data_augment shape: (9000, 759)
X_data_augment_list[0] shape: (1800, 759)
X_data_augment_list[1] shape: (1800, 759)
X_data_augment_list[2] shape: (1800, 759)
X_data_augment_list[3] shape: (1800, 759)
X_data_augment_list[4] shape: (1800, 759)
eta = 0.1, max_depth = 3, min_child_weight = 1, gamma=0, mean accuracy = 0.780778
eta = 0.1, max_depth = 3, min_child_weight = 1, gamma=0.1, mean accuracy = 0.780778
eta = 0.1, max_depth = 3, min_child_weight = 1, gamma=0.2, mean accuracy = 0.780778
eta = 0.1, max_depth = 3, min_child_weight = 1, gamma=0.3, mean accuracy = 0.780778
eta = 0.1, max_depth = 3, min_child_weight = 1, gamma=0.4, mean accuracy = 0.780778
eta = 0.1, max_depth = 3, min_child_weight = 1, gamma=0.5, mean accuracy = 0.780778
eta = 0.1, max_depth = 3, min_child_weight = 2, gamma=0, mean accuracy = 0.780889
eta = 0.1, max_depth = 3, min_child_weight = 2, gamma=0.1, mean accuracy = 0.780889
eta = 0.1, max_depth = 3, min_child_weight = 2, gamma=0.2, mean accuracy = 0.780889
eta = 0.1, max_depth = 3, min_child_weight = 2, gamma=0.3, mean accuracy = 0.780889
eta = 0.1, max_depth = 3, min_child_weight = 2, gamma=0.4, mean accuracy = 0.780889
eta = 0.1, max_depth = 3, min_child_weight = 2, gamma=0.5, mean accuracy = 0.780889
eta = 0.1, max_depth = 3, min_child_weight = 3, gamma=0, mean accuracy = 0.781222
eta = 0.1, max_depth = 3, min_child_weight = 3, gamma=0.1, mean accuracy = 0.781222
eta = 0.1, max_depth = 3, min_child_weight = 3, gamma=0.2, mean accuracy = 0.781222
eta = 0.1, max_depth = 3, min_child_weight = 3, gamma=0.3, mean accuracy = 0.781222
eta = 0.1, max_depth = 3, min_child_weight = 3, gamma=0.4, mean accuracy = 0.781222
eta = 0.1, max_depth = 3, min_child_weight = 3, gamma=0.5, mean accuracy = 0.781222
eta = 0.1, max_depth = 3, min_child_weight = 4, gamma=0, mean accuracy = 0.781222
eta = 0.1, max_depth = 3, min_child_weight = 4, gamma=0.1, mean accuracy = 0.781222
eta = 0.1, max_depth = 3, min_child_weight = 4, gamma=0.2, mean accuracy = 0.781222
eta = 0.1, max_depth = 3, min_child_weight = 4, gamma=0.3, mean accuracy = 0.781222
eta = 0.1, max_depth = 3, min_child_weight = 4, gamma=0.4, mean accuracy = 0.781222
eta = 0.1, max_depth = 3, min_child_weight = 4, gamma=0.5, mean accuracy = 0.781222
eta = 0.1, max_depth = 3, min_child_weight = 5, gamma=0, mean accuracy = 0.780556
eta = 0.1, max_depth = 3, min_child_weight = 5, gamma=0.1, mean accuracy = 0.780556
eta = 0.1, max_depth = 3, min_child_weight = 5, gamma=0.2, mean accuracy = 0.780556
eta = 0.1, max_depth = 3, min_child_weight = 5, gamma=0.3, mean accuracy = 0.780556
eta = 0.1, max_depth = 3, min_child_weight = 5, gamma=0.4, mean accuracy = 0.780556
eta = 0.1, max_depth = 3, min_child_weight = 5, gamma=0.5, mean accuracy = 0.780556
eta = 0.3, max_depth = 3, min_child_weight = 1, gamma=0, mean accuracy = 0.779556
eta = 0.3, max_depth = 3, min_child_weight = 1, gamma=0.1, mean accuracy = 0.779556
eta = 0.3, max_depth = 3, min_child_weight = 1, gamma=0.2, mean accuracy = 0.779556
eta = 0.3, max_depth = 3, min_child_weight = 1, gamma=0.3, mean accuracy = 0.779556
eta = 0.3, max_depth = 3, min_child_weight = 1, gamma=0.4, mean accuracy = 0.779556
eta = 0.3, max_depth = 3, min_child_weight = 1, gamma=0.5, mean accuracy = 0.779556
eta = 0.3, max_depth = 3, min_child_weight = 2, gamma=0, mean accuracy = 0.779111
eta = 0.3, max_depth = 3, min_child_weight = 2, gamma=0.1, mean accuracy = 0.779111
eta = 0.3, max_depth = 3, min_child_weight = 2, gamma=0.2, mean accuracy = 0.779111
eta = 0.3, max_depth = 3, min_child_weight = 2, gamma=0.3, mean accuracy = 0.779111
eta = 0.3, max_depth = 3, min_child_weight = 2, gamma=0.4, mean accuracy = 0.779111
eta = 0.3, max_depth = 3, min_child_weight = 2, gamma=0.5, mean accuracy = 0.779111
eta = 0.3, max_depth = 3, min_child_weight = 3, gamma=0, mean accuracy = 0.778333
eta = 0.3, max_depth = 3, min_child_weight = 3, gamma=0.1, mean accuracy = 0.778333
eta = 0.3, max_depth = 3, min_child_weight = 3, gamma=0.2, mean accuracy = 0.778333
eta = 0.3, max_depth = 3, min_child_weight = 3, gamma=0.3, mean accuracy = 0.778333
eta = 0.3, max_depth = 3, min_child_weight = 3, gamma=0.4, mean accuracy = 0.778333
eta = 0.3, max_depth = 3, min_child_weight = 3, gamma=0.5, mean accuracy = 0.778333
eta = 0.3, max_depth = 3, min_child_weight = 4, gamma=0, mean accuracy = 0.777667
eta = 0.3, max_depth = 3, min_child_weight = 4, gamma=0.1, mean accuracy = 0.777667
eta = 0.3, max_depth = 3, min_child_weight = 4, gamma=0.2, mean accuracy = 0.777667
eta = 0.3, max_depth = 3, min_child_weight = 4, gamma=0.3, mean accuracy = 0.777667
eta = 0.3, max_depth = 3, min_child_weight = 4, gamma=0.4, mean accuracy = 0.777667
eta = 0.3, max_depth = 3, min_child_weight = 4, gamma=0.5, mean accuracy = 0.777667
eta = 0.3, max_depth = 3, min_child_weight = 5, gamma=0, mean accuracy = 0.777778
eta = 0.3, max_depth = 3, min_child_weight = 5, gamma=0.1, mean accuracy = 0.777778
eta = 0.3, max_depth = 3, min_child_weight = 5, gamma=0.2, mean accuracy = 0.777778
eta = 0.3, max_depth = 3, min_child_weight = 5, gamma=0.3, mean accuracy = 0.777778
eta = 0.3, max_depth = 3, min_child_weight = 5, gamma=0.4, mean accuracy = 0.777778
eta = 0.3, max_depth = 3, min_child_weight = 5, gamma=0.5, mean accuracy = 0.777778
best mean accuracy: 0.781222
